latitude,longitude,datetime,Wildfire
27.59158452574864,-82.06941757138034,2014-03-02 11:06:02.571521,No
38.98013000958913,-109.2240922435091,2014-03-03 08:50:01.917116,No
40.57433548907615,-107.95435452412028,2014-03-03 19:07:36.464294,No
43.3099732575789,-86.57399823399402,2014-03-06 16:08:13.188450,No
41.81564622876614,-89.14548807549335,2014-03-06 19:34:18.180228,No
44.40712013332148,-100.54759920582836,2014-03-06 21:22:41.999223,No
49.05397772500912,-122.74075908549491,2014-03-07 08:25:40.941500,No
38.90074830718122,-86.58145877589942,2014-03-07 13:17:29.533147,No
33.35103947839397,-78.91565107755278,2014-03-07 23:50:33.462361,No
24.530899347596844,-70.61904282291732,2014-03-08 08:24:46.128074,No
42.798872451939815,-115.56339220669048,2014-03-09 06:57:57.074161,No
39.42899954837333,-116.5887339487674,2014-03-09 14:43:15.438671,No
27.176801837568213,-71.18016589280188,2014-03-10 15:33:40.756841,No
36.6777999990959,-83.5617,2014-03-10 18:00:00.000000,Yes
28.87625765297996,-109.32389792569109,2014-03-10 23:24:33.393674,No
39.154725922959436,-124.37609826137185,2014-03-11 01:10:18.738319,No
29.562999047176135,-89.01391148811454,2014-03-11 13:45:02.668199,No
45.14121128231884,-97.1881881224551,2014-03-11 19:24:14.497808,No
32.27907918157173,-70.65802099591437,2014-03-12 00:02:25.761565,No
39.4772606733081,-82.66472283754453,2014-03-13 14:16:53.764442,No
43.01220295993818,-106.60159838538405,2014-03-13 19:25:22.299002,No
38.59022406620251,-84.86257700819536,2014-03-14 17:16:22.026234,No
40.853909557602734,-71.92182669070806,2014-03-15 09:24:57.733739,No
34.893184383154605,-110.1284348518237,2014-03-15 17:44:52.618118,No
44.716859353637275,-109.61511378759958,2014-03-16 08:14:21.687556,No
32.1744165676153,-93.26122844180979,2014-03-20 06:14:57.764833,No
30.92119041733146,-92.29624216774084,2014-03-20 23:55:21.313702,No
26.964188662621126,-108.67439660584166,2014-03-21 00:02:00.116044,No
43.37024999047763,-90.2600696108082,2014-03-21 07:42:17.722498,No
39.68543514102219,-77.16107693872772,2014-03-23 09:24:29.027558,No
37.195392283962235,-101.5757253897275,2014-03-24 18:09:22.341975,No
24.94425608928979,-88.76372946297869,2014-03-25 21:24:45.506997,No
28.039022974676016,-112.18949691108931,2014-03-26 01:51:07.538538,No
42.07031219648466,-107.15803968841928,2014-03-30 02:39:40.240409,No
31.329823821124698,-99.96722884400549,2014-03-30 19:30:24.686808,No
41.963899999062,-92.6278,2014-03-31 02:15:00.000000,Yes
41.90221074730148,-76.36265033311531,2014-03-31 05:35:12.016170,No
29.888059554717366,-87.73189776257232,2014-04-02 05:08:22.079767,No
34.971121475784024,-101.17497200720828,2014-04-04 00:39:34.202672,No
41.060491695397246,-102.78823739118083,2014-04-06 09:18:41.738582,No
42.83967445788896,-89.41772373432629,2014-04-06 14:52:15.893549,No
28.771455834266064,-123.95376495080966,2014-04-06 23:00:40.273996,No
45.2030999990569,-119.174,2014-04-07 21:21:00.000000,Yes
40.2988999990692,-102.256,2014-04-08 21:00:00.000000,Yes
42.29849669887329,-68.3220981456966,2014-04-09 21:06:33.402023,No
46.110119552576776,-104.75755111524909,2014-04-10 03:26:34.000700,No
39.066561761548265,-109.51498383541954,2014-04-10 09:26:10.640982,No
32.1032999991502,-112.068,2014-04-10 13:10:00.000000,Yes
27.44138919613257,-85.31453154664646,2014-04-11 01:26:25.003444,No
48.6627999990647,-112.382,2014-04-12 00:01:00.000000,Yes
29.060458566478353,-93.38794520230635,2014-04-12 03:07:44.578743,No
33.12121059832042,-122.04580488721992,2014-04-13 00:40:14.501729,No
37.1902999990912,-107.888,2014-04-13 00:46:00.000000,Yes
38.50807378064929,-77.95132874329207,2014-04-13 08:49:13.448799,No
39.3939291151972,-110.36752278162925,2014-04-13 22:57:54.973709,No
39.7574999990723,-105.141111111,2014-04-14 17:03:00.000000,Yes
41.01228402732416,-98.15662730977793,2014-04-15 02:00:11.911767,No
25.097289391229506,-95.00678351853092,2014-04-15 11:49:06.391203,No
26.669239888353033,-108.78951031811442,2014-04-16 11:18:16.599259,No
36.5755999990969,-97.1414,2014-04-16 18:00:00.000000,Yes
32.11779999915,-110.972,2014-04-17 21:48:00.000000,Yes
31.7996999991545,-112.554,2014-04-19 01:46:00.000000,Yes
38.9210999990776,-120.056,2014-04-20 19:47:00.000000,Yes
25.6331999992635,-80.5269,2014-04-21 21:00:00.000000,Yes
26.2277999992514,-81.0389,2014-04-22 10:30:00.000000,Yes
46.43976077939197,-121.65068716995395,2014-04-22 21:21:20.137635,No
45.6891999990571,-96.9503,2014-04-23 01:10:00.000000,Yes
38.15845700442098,-94.87145926734821,2014-04-23 15:27:33.636613,No
42.65167271841918,-122.73544774374693,2014-04-24 05:34:56.836013,No
26.202838794434204,-99.16794352228358,2014-04-24 16:56:44.577093,No
35.18911509425493,-83.04557111335694,2014-04-26 16:48:53.878157,No
39.37435332990843,-80.410131086885,2014-04-28 18:47:07.608867,No
48.085789061149704,-104.4705426997086,2014-04-30 09:30:38.913336,No
40.244507330106174,-112.01486400913086,2014-05-02 04:49:19.721645,No
44.434399999057,-121.931,2014-05-02 05:00:00.000000,Yes
38.05522491699789,-97.22796787524325,2014-05-02 05:58:42.870395,No
38.331343385743274,-110.21337464990611,2014-05-03 15:01:34.909601,No
31.152987702242598,-86.395906646462,2014-05-04 15:50:45.052397,No
39.98942166147238,-69.7233116387604,2014-05-06 02:58:31.455884,No
28.142568506125205,-97.01423511372157,2014-05-06 06:37:39.971187,No
41.78789983551138,-116.29692971998332,2014-05-06 13:01:57.396680,No
44.30576621243292,-69.82470928823028,2014-05-07 03:14:15.920542,No
45.35232961639059,-68.97581483275826,2014-05-07 22:05:52.154613,No
34.9115284226764,-76.35871666284072,2014-05-09 12:29:51.003548,No
32.3416999991468,-104.122,2014-05-10 18:38:00.000000,Yes
33.753599999128,-116.712,2014-05-11 03:20:00.000000,Yes
33.27320852040264,-71.80907208920297,2014-05-11 13:41:41.892318,No
39.8246999990719,-77.2469,2014-05-13 00:10:00.000000,Yes
40.64966477558217,-91.2602573613666,2014-05-13 07:12:31.998143,No
29.488512200005097,-67.3956701747731,2014-05-13 17:05:02.873656,No
47.8882420244436,-85.80075847120133,2014-05-13 22:49:25.350828,No
45.71051948420403,-103.21287858755774,2014-05-14 11:55:56.338256,No
29.424919797402552,-95.61835601566835,2014-05-14 17:02:56.529078,No
43.94709847969034,-105.82904625718302,2014-05-15 09:30:16.090404,No
37.662914235336814,-106.58922429095728,2014-05-15 17:33:07.566368,No
44.91657105284591,-122.79826048913223,2014-05-16 03:24:05.328464,No
41.30159425968975,-121.99195017828967,2014-05-17 03:02:02.656487,No
42.256366522686264,-93.79812144330535,2014-05-17 14:08:30.442935,No
26.48615567449258,-101.97447324246976,2014-05-19 02:15:19.104367,No
32.691339648157594,-68.82023364863275,2014-05-19 08:10:26.675755,No
29.088880122948282,-88.00975275706197,2014-05-20 11:49:51.109185,No
49.13916264454676,-76.86413068670866,2014-05-20 17:21:31.936067,No
41.959399999062,-92.6047,2014-05-21 00:45:00.000000,Yes
46.6239999990585,-121.294,2014-05-22 00:15:00.000000,Yes
40.64963628442781,-69.08426241680361,2014-05-22 10:32:28.432392,No
39.059025663333884,-112.03831855700878,2014-05-22 17:58:47.951203,No
48.8371999990655,-99.7408,2014-05-23 00:10:00.000000,Yes
31.705813070305545,-97.2916008629814,2014-05-23 10:33:46.532706,No
40.975061704546484,-111.30316840663671,2014-05-23 11:29:47.787726,No
40.6715999990673,-108.72,2014-05-24 00:00:00.000000,Yes
36.95508956121613,-120.20232631645455,2014-05-24 11:51:11.930172,No
26.1605999992528,-80.99,2014-05-25 01:00:00.000000,Yes
30.62173959233031,-119.58525563727412,2014-05-26 21:38:20.644765,No
39.8207999990719,-119.747,2014-05-27 00:15:00.000000,Yes
47.07518460642983,-111.58123472885512,2014-05-27 05:42:54.928481,No
35.87582050097191,-69.22940856313267,2014-05-27 08:32:21.133170,No
48.272403526789745,-88.85040981385205,2014-05-27 18:46:04.279578,No
46.4618999990582,-114.204,2014-05-29 00:30:00.000000,Yes
26.669135351501733,-72.21929784758586,2014-05-29 12:58:44.595500,No
37.2482999990907,-113.616,2014-05-30 00:07:00.000000,Yes
28.047471576058385,-117.29604611556445,2014-05-30 05:34:51.685022,No
43.74009047758173,-70.5847454671987,2014-05-30 12:24:23.256446,No
25.61109982465885,-109.63909508727349,2014-05-30 12:52:16.413407,No
30.24759799376895,-88.64874833638041,2014-05-30 21:41:27.867637,No
40.7635999990669,-108.842,2014-05-31 00:03:00.000000,Yes
26.954430111206435,-88.29599148603052,2014-05-31 02:43:24.803437,No
41.7259999990628,-117.721,2014-06-01 00:04:00.000000,Yes
26.177629001958817,-117.27574230483123,2014-06-01 02:26:39.507655,No
25.908803749318537,-73.9863079442404,2014-06-01 20:12:50.002812,No
39.8689999990716,-120.444,2014-06-02 00:00:00.000000,Yes
34.461427392220074,-87.79867531892299,2014-06-03 16:04:34.793200,No
25.037584334229496,-122.40550475537036,2014-06-03 16:39:55.154101,No
32.22102925732656,-74.29851258617424,2014-06-03 18:31:47.203438,No
49.35619613010835,-109.16785146310322,2014-06-03 22:40:16.601362,No
41.843202701131304,-78.55110027593935,2014-06-03 23:56:34.380707,No
